movie_id,tmdb_id,imdb_id,title,original_title,adult,budget,genres,homepage,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
44+minutes+the+north+hollywood+shoot-out+2003,14842,tt0362389,44 Minutes: The North Hollywood Shoot-Out,44 Minutes: The North Hollywood Shoot-Out,False,10000000,Action,null,en,"After a failed bank robbery, two heavily armed men hold the Los Angeles Police Department at bay for 44 minutes.",1.302154,/l0MQOUvmDo5ncmizUunE0wkIcfg.jpg,Chapman/Leonard Studio Equipment,United States of America,2003-01-01,0,103,English,Released,6.4,17
a+man+called+horse+1970,14676,tt0066049,A Man Called Horse,A Man Called Horse,False,0,"Action, Adventure, Drama, Western",null,en,In 1825 an English aristocrat is captured by Indians. He lives with them and begins to understand/accept their lifestyles. Eventually he is accepted as part of the tribe and becomes their leader.,14.35552,/8IReudOtlGuE6Z4GCPlTgDOlRO0.jpg,"Cinema Center Films, Sandy Howard Productions",United States of America,1970-05-01,0,114,"English, Français",Released,6.6,58
rosencrantz++guildenstern+are+dead+1991,18971,tt0100519,Rosencrantz & Guildenstern Are Dead,Rosencrantz & Guildenstern Are Dead,False,0,"Comedy, Drama",null,en,"Two minor characters from the play, ""Hamlet"" stumble around unaware of their scripted lives and unable to deviate from them.",5.088457,/85W0AoRbaLUsZIrnfN68PP9UcTD.jpg,"Brandenberg, WNET Channel 13 New York","United Kingdom, United States of America",1991-02-08,0,117,English,Released,7.3,75
bang+bang+1971,173732,tt0201450,Bang Bang,Bang Bang,False,0,"Comedy, Fantasy",null,pt,"This endearingly crazy 1971 Brazilian film defies classification: its Portuguese title (Bangue bangue) refers to films we'd probably call ""shoot-'em-ups,"" director Andrea Tonacci called it a ""Maoist detective comedy,"" yet American audiences would probably consider it an experimental film. The anonymous urban protagonist experiences a series of absurd situations--including a crazy cab ride, an encounter with a wacky criminal gang, and lots of gunplay--but they're stripped of any story that might explain them and infused with a unique anarchic energy, eventually suggesting our true animal nature. As with Godard, it's partly an homage to genre filmmaking (there's singing and dancing, a little sex, and lots of violence), but what really powers the film is Tonacci's inventive camera.",0.000578,/946p57CEWnVSJC1mBuqixHTWuAD.jpg,Total Filmes,Brazil,1971-01-01,0,80,Português,Released,7.5,2
as+tears+go+by+1988,24163,tt0096461,As Tears Go By,旺角卡門,False,0,"Drama, Action, Thriller, Crime, Romance",null,cn,"Two parallel stories of Wah caught in the mist of a love affair with his beloved cousin, Ngor and his relationship with his triad brother, Fly, who seems to never fall out of trouble.",7.497042,/5UpbEQxeQLjp8wfoffa06pYlzhN.jpg,"In-Gear Film Production Co., Ltd.",Hong Kong,1988-06-09,0,102,广州话 / 廣州話,Released,6.9,48
syriana+2005,231,tt0365737,Syriana,Syriana,False,50000000,"Drama, Thriller",http://syrianamovie.warnerbros.com/,en,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",5.768575,/ArLpoafsdFhs5USOn2AUsEIImxI.jpg,"Section Eight, Warner Bros., Participant Media, FilmWorks, 4M, MID Foundation",United States of America,2005-11-23,94000000,128,"العربية, English, فارسی, اردو, Français, 普通话",Released,6.3,455
his+name+was+jason+30+years+of+friday+the+13th+2009,15004,tt1282052,His Name Was Jason: 30 Years of Friday the 13th,His Name Was Jason: 30 Years of Friday the 13th,False,0,"Documentary, Horror",http://www.fridaythe13thfilms.com,en,"A retrospective documentary about the groundbreaking horror series, Friday the 13th, featuring interviews with cast and crew from the twelve films spanning 3 decades.",6.353353,/7FW79uthMfXwCsNsw7WFW5fqkJw.jpg,Paramount Pictures,United States of America,2009-02-03,0,90,"English, Français",Released,7.0,25
hawking+2013,176238,tt2830416,Hawking,Hawking,False,0,Documentary,null,en,"""Hawking"" is the extraordinary story of the planet’s most famous living scientist, told for the first time in his own words and by those closest to him. Made with unique access to Hawking’s private life, this is an intimate and moving journey into Stephen's world, both past and present. An inspirational portrait of an iconic figure, Hawking relates his incredible personal journey from boyhood under-achiever, to PhD genius, to being diagnosed with Motor Neuron Disease and given just two years to live. Despite the constant threat of death, Hawking manages to make many remarkable scientific discoveries and rises to fame and super-stardom. ""Hawking"" - a remarkable man, and a remarkable movie.",1.505729,/3BDMk0uBv3u1DTApqX5mKXL2DQd.jpg,"Channel 4 Television, PBS",United Kingdom,2013-03-11,0,86,English,Released,7.9,14
dad+1989,21291,tt0097142,Dad,Dad,False,19000000,"Drama, Comedy",null,en,"A busy executive (Ted Danson) learns during a meeting that his mother may be dying and rushes home to her side. He ends up being his father's caretaker and becomes closer to him (Jack Lemmon) than ever before. Estranged from his own son (Ethan Hawke), the executive comes to realize what has been missing in his own life.",2.727017,/981x2imjzvyo3wqawWX2liXuPfS.jpg,"Universal Pictures, Amblin Entertainment",United States of America,1989-10-27,19738015,117,English,Released,5.6,20
crossing+the+bridge+the+sound+of+istanbul+2005,29138,tt0459242,Crossing the Bridge: The Sound of Istanbul,Crossing the Bridge: The Sound of Istanbul,False,0,"Documentary, Music",null,en,"Award-winning director Fatih Akin takes us on a journey through Istanbul, the city that bridges Europe and Asia, and challenges familiar notions of east and west. He looks at the vibrant musical scene which includes traditional Turkish music plus rock and hip-hop.",1.172386,/mla9nlpSf7LZuH9wb4K0xsVXlCz.jpg,,,2005-05-27,0,90,"English, , Türkçe",Released,8.1,8
